12:28:27.850337 IP amd256.utah.cloudlab.us.40854 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1338811835:1338811894, ack 1900290555, win 502, options [nop,nop,TS val 3589080236 ecr 2617409921], length 59

12:28:27.850373 IP amd256.utah.cloudlab.us.40848 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 997499961:997500020, ack 2614936285, win 502, options [nop,nop,TS val 3589080236 ecr 2617409921], length 59

12:28:27.850489 IP amd256.utah.cloudlab.us.40870 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3265154012:3265154071, ack 2825380350, win 502, options [nop,nop,TS val 3589080236 ecr 2617409921], length 59

12:28:27.850582 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40848: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410161 ecr 3589080236], length 123

12:28:27.850605 IP amd256.utah.cloudlab.us.40848 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080236 ecr 2617410161], length 0

12:28:27.850607 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40854: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410161 ecr 3589080236], length 123

12:28:27.850629 IP amd256.utah.cloudlab.us.40854 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080236 ecr 2617410161], length 0

12:28:27.850659 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40870: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410161 ecr 3589080236], length 123

12:28:27.850666 IP amd256.utah.cloudlab.us.40872 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2673034227:2673034286, ack 1760276906, win 502, options [nop,nop,TS val 3589080236 ecr 2617409921], length 59

12:28:27.850689 IP amd256.utah.cloudlab.us.40870 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080236 ecr 2617410161], length 0

12:28:27.850867 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40872: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410161 ecr 3589080236], length 123

12:28:27.850894 IP amd256.utah.cloudlab.us.40872 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080236 ecr 2617410161], length 0

