PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 204923 yugm2     20   0 2407144  11308   5232 S   0.0   0.0   0:44.29 main
 204923 yugm2     20   0 2407144  11308   5232 S   0.0   0.0   0:44.31 main
 204923 yugm2     20   0 2407144  11308   5232 S   5.9   0.0   0:44.33 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.35 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.37 main
 204923 yugm2     20   0 2407144  10840   5232 S   5.9   0.0   0:44.39 main
 204923 yugm2     20   0 2407144  10840   5232 S   5.9   0.0   0:44.41 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.43 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.44 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.45 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.47 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.49 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.51 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.54 main
 204923 yugm2     20   0 2407144  10840   5232 S   0.0   0.0   0:44.55 main
 204923 yugm2     20   0 2407144  10948   5232 S   6.2   0.0   0:44.58 main
 204923 yugm2     20   0 2407144  10948   5232 S   0.0   0.0   0:44.59 main
 204923 yugm2     20   0 2407144  11212   5232 S   5.9   0.0   0:44.62 main
 204923 yugm2     20   0 2407144  11212   5232 S   0.0   0.0   0:44.63 main
 204923 yugm2     20   0 2407144  11212   5232 S   0.0   0.0   0:44.65 main
 204923 yugm2     20   0 2407144  11212   5232 S   0.0   0.0   0:44.66 main
 204923 yugm2     20   0 2407144  11472   5232 S   0.0   0.0   0:44.69 main
 204923 yugm2     20   0 2407144  11472   5232 S   0.0   0.0   0:44.70 main
 204923 yugm2     20   0 2407144  11732   5232 S   6.2   0.0   0:44.73 main
 204923 yugm2     20   0 2407144  11732   5232 S  11.8   0.0   0:44.75 main
 204923 yugm2     20   0 2407144  11732   5232 S   0.0   0.0   0:44.76 main
 204923 yugm2     20   0 2407144  11732   5232 S   5.9   0.0   0:44.78 main
 204923 yugm2     20   0 2407144  11732   5232 S   0.0   0.0   0:44.80 main
 204923 yugm2     20   0 2407144  11512   5232 S   5.9   0.0   0:44.82 main
 204923 yugm2     20   0 2407144  11512   5232 S   5.9   0.0   0:44.84 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:44.85 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:44.87 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:44.88 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:44.90 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:44.92 main
 204923 yugm2     20   0 2407144  11512   5232 S   5.9   0.0   0:44.94 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:44.95 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:44.97 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:44.99 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:45.01 main
 204923 yugm2     20   0 2407144  11512   5232 S   0.0   0.0   0:45.02 main
 204923 yugm2     20   0 2407144  11160   5232 S   0.0   0.0   0:45.04 main
 204923 yugm2     20   0 2407144  11160   5232 S   0.0   0.0   0:45.06 main
 204923 yugm2     20   0 2407144  11160   5232 S   0.0   0.0   0:45.08 main
 204923 yugm2     20   0 2407144  11160   5232 S   0.0   0.0   0:45.10 main
 204923 yugm2     20   0 2407144  11160   5232 S   0.0   0.0   0:45.11 main
 204923 yugm2     20   0 2407144  11160   5232 S   0.0   0.0   0:45.13 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
 204923 yugm2     20   0 2480876  11160   5232 S   0.0   0.0   0:45.15 main
