PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
73600 yugm2     20   0  978652  23420   4228 S   6.2   0.6   0:00.01 wrk
73600 yugm2     20   0  978652  25752   4228 S 138.9   0.7   0:01.37 wrk
73600 yugm2     20   0  978652  29688   4228 S 141.2   0.8   0:03.22 wrk
73600 yugm2     20   0  978652  32064   4228 S 147.1   0.9   0:05.08 wrk
73600 yugm2     20   0  978652  34176   4228 S 141.2   0.9   0:06.81 wrk
73600 yugm2     20   0  978652  37872   4228 S 135.3   1.0   0:08.61 wrk
73600 yugm2     20   0  978652  39984   4228 S 141.2   1.1   0:10.39 wrk
73600 yugm2     20   0  978652  41832   4228 S 152.9   1.1   0:12.17 wrk
73600 yugm2     20   0  978652  44564   4228 S 158.8   1.2   0:14.06 wrk
73600 yugm2     20   0  978652  44564   4228 S 147.1   1.2   0:15.89 wrk
73600 yugm2     20   0  978652  44564   4228 S 147.1   1.2   0:17.73 wrk
73600 yugm2     20   0  978652  44564   4228 S 141.2   1.2   0:19.57 wrk
73600 yugm2     20   0  978652  44564   4228 S 141.2   1.2   0:21.37 wrk
73600 yugm2     20   0  978652  44564   4228 S 144.4   1.2   0:23.21 wrk
73600 yugm2     20   0  978652  44564   4228 S 111.8   1.2   0:24.92 wrk
73600 yugm2     20   0  978652  44564   4228 S 138.9   1.2   0:26.85 wrk
73600 yugm2     20   0  978652  44564   4228 S 138.9   1.2   0:28.71 wrk
73600 yugm2     20   0  978652  44564   4228 S 152.9   1.2   0:30.45 wrk
73600 yugm2     20   0  978652  44564   4228 S 127.8   1.2   0:32.26 wrk
73600 yugm2     20   0  978652  44564   4228 S 122.2   1.2   0:34.07 wrk
73600 yugm2     20   0  978652  44564   4228 S 150.0   1.2   0:35.90 wrk
73600 yugm2     20   0  978652  44564   4228 S 127.8   1.2   0:37.71 wrk
73600 yugm2     20   0  978652  44564   4228 S 133.3   1.2   0:39.59 wrk
