PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
92208 yugm2     20   0  917852  39740   4160 S  11.8   1.1   0:00.02 wrk
92208 yugm2     20   0  917852  41012   4160 S 133.3   1.1   0:01.01 wrk
92208 yugm2     20   0  917852  44132   4160 S 147.1   1.2   0:02.99 wrk
92208 yugm2     20   0  917852  45716   4160 S 150.0   1.2   0:04.85 wrk
92208 yugm2     20   0  917852  47036   4160 S 164.7   1.3   0:06.73 wrk
92208 yugm2     20   0  917852  48884   4160 S 136.8   1.3   0:08.64 wrk
92208 yugm2     20   0  917852  50468   4160 S 138.9   1.3   0:10.58 wrk
92208 yugm2     20   0  917852  52580   4160 S 158.8   1.4   0:12.38 wrk
92208 yugm2     20   0  917852  55176   4160 S 136.8   1.5   0:14.43 wrk
92208 yugm2     20   0  917852  56232   4160 S 135.0   1.5   0:16.41 wrk
92208 yugm2     20   0  917852  58080   4160 S 147.4   1.6   0:18.35 wrk
92208 yugm2     20   0  917852  58872   4160 S 131.6   1.6   0:20.32 wrk
92208 yugm2     20   0  917852  58872   4160 S 170.6   1.6   0:22.26 wrk
92208 yugm2     20   0  917852  58872   4160 S 138.9   1.6   0:24.13 wrk
92208 yugm2     20   0  917852  58872   4160 S 133.3   1.6   0:26.05 wrk
92208 yugm2     20   0  917852  58872   4160 S 152.9   1.6   0:27.87 wrk
92208 yugm2     20   0  917852  58872   4160 S 150.0   1.6   0:29.76 wrk
92208 yugm2     20   0  917852  58872   4160 S 147.1   1.6   0:31.62 wrk
92208 yugm2     20   0  917852  58872   4160 S 152.9   1.6   0:33.49 wrk
92208 yugm2     20   0  917852  58872   4160 S 131.6   1.6   0:35.39 wrk
92208 yugm2     20   0  917852  58872   4160 S 144.4   1.6   0:37.32 wrk
92208 yugm2     20   0  917852  58872   4160 S 158.8   1.6   0:39.19 wrk
92208 yugm2     20   0  917852  58872   4160 S 158.8   1.6   0:41.11 wrk
