PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
19349 yugm2     20   0  842492  45832   4116 S   0.0   1.2   0:00.00 wrk
19349 yugm2     20   0  842492  45832   4116 S 100.0   1.2   0:00.36 wrk
19349 yugm2     20   0  842492  48636   4116 S  76.5   1.3   0:01.99 wrk
19349 yugm2     20   0  842492  49164   4116 S  82.4   1.3   0:03.15 wrk
19349 yugm2     20   0  842492  49956   4116 S  77.8   1.3   0:04.22 wrk
19349 yugm2     20   0  842492  50748   4116 S  76.5   1.4   0:05.25 wrk
19349 yugm2     20   0  842492  51012   4116 S  82.4   1.4   0:06.27 wrk
19349 yugm2     20   0  842492  52068   4116 S  81.2   1.4   0:07.26 wrk
19349 yugm2     20   0  842492  53664   4116 S  70.6   1.4   0:08.27 wrk
19349 yugm2     20   0  842492  54192   4116 S  70.6   1.4   0:09.29 wrk
19349 yugm2     20   0  842492  54720   4116 S  70.6   1.5   0:10.38 wrk
19349 yugm2     20   0  842492  55512   4116 S  64.7   1.5   0:11.56 wrk
19349 yugm2     20   0  842492  56040   4116 S  68.8   1.5   0:12.43 wrk
19349 yugm2     20   0  842492  56832   4116 S  64.7   1.5   0:13.31 wrk
19349 yugm2     20   0  842492  57624   4116 S  70.6   1.5   0:14.26 wrk
19349 yugm2     20   0  842492  57624   4116 S  75.0   1.5   0:15.13 wrk
19349 yugm2     20   0  842492  57624   4116 S  68.8   1.5   0:16.00 wrk
19349 yugm2     20   0  842492  57624   4116 S  64.7   1.5   0:16.84 wrk
19349 yugm2     20   0  842492  57624   4116 S  58.8   1.5   0:17.70 wrk
19349 yugm2     20   0  842492  57624   4116 S  62.5   1.5   0:18.54 wrk
19349 yugm2     20   0  842492  57624   4116 S  58.8   1.5   0:19.33 wrk
19349 yugm2     20   0  842492  57624   4116 S  52.9   1.5   0:20.13 wrk
19349 yugm2     20   0  842492  57624   4116 S  58.8   1.5   0:20.93 wrk
