PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
31568 yugm2     20   0  346652   4672   4164 S   0.0   0.1   0:00.00 wrk
31568 yugm2     20   0 1362400 869408   4228 S 125.0  23.2   0:00.77 wrk
31568 yugm2     20   0 1362400 869664   4228 S 115.8  23.2   0:02.76 wrk
31568 yugm2     20   0 1362400 869664   4228 S 115.8  23.2   0:04.56 wrk
31568 yugm2     20   0 1362400 869664   4228 S 122.2  23.2   0:06.65 wrk
31568 yugm2     20   0 1362400 869664   4228 S 110.5  23.2   0:08.38 wrk
31568 yugm2     20   0 1362400 869664   4228 S 110.5  23.2   0:10.00 wrk
31568 yugm2     20   0 1362400 869664   4228 S 115.8  23.2   0:11.90 wrk
31568 yugm2     20   0 1362400 870132   4228 S 116.7  23.3   0:13.83 wrk
31568 yugm2     20   0 1362400 870132   4228 S 115.8  23.3   0:15.63 wrk
31568 yugm2     20   0 1362400 870132   4228 S 115.8  23.3   0:17.63 wrk
31568 yugm2     20   0 1362400 870132   4228 S 115.8  23.3   0:20.07 wrk
31568 yugm2     20   0 1362400 870132   4228 S 111.1  23.3   0:23.45 wrk
31568 yugm2     20   0 1362400 870132   4228 S 115.8  23.3   0:28.79 wrk
31568 yugm2     20   0 1362400 870132   4228 S 133.3  23.3   0:31.53 wrk
