PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
34067 yugm2     20   0  713576   7660   4252 R   0.0   0.2   0:00.00 wrk
34067 yugm2     20   0 1821692  20404   4252 S  81.2   0.5   0:01.08 wrk
34067 yugm2     20   0 1821692  20924   4252 S  76.5   0.6   0:02.13 wrk
34067 yugm2     20   0 1821692  20924   4252 S  76.5   0.6   0:03.18 wrk
34067 yugm2     20   0 1821692  25148   4252 S  70.6   0.7   0:04.20 wrk
34067 yugm2     20   0 1821692  30956   4252 S  70.6   0.8   0:05.15 wrk
34067 yugm2     20   0 1821692  32540   4252 S  64.7   0.9   0:06.14 wrk
34067 yugm2     20   0 1821692  33068   4252 S  64.7   0.9   0:07.12 wrk
34067 yugm2     20   0 1821692  43320   4252 S  70.6   1.2   0:08.13 wrk
34067 yugm2     20   0 1821692  43764   4252 S  58.8   1.2   0:09.02 wrk
34067 yugm2     20   0 1821692  49228   4252 S  58.8   1.3   0:09.88 wrk
34067 yugm2     20   0 1821692  49992   4252 S  58.8   1.3   0:10.68 wrk
34067 yugm2     20   0 1821692  50784   4252 S  47.1   1.4   0:11.58 wrk
34067 yugm2     20   0 1821692  51840   4252 S  52.9   1.4   0:12.41 wrk
34067 yugm2     20   0 1821692  52368   4252 S  35.3   1.4   0:13.06 wrk
34067 yugm2     20   0 1821692  55536   4252 S  47.1   1.5   0:13.73 wrk
34067 yugm2     20   0 1821692  58968   4252 S  47.1   1.6   0:15.53 wrk
34067 yugm2     20   0 1821692  59496   4252 S  41.2   1.6   0:16.82 wrk
34067 yugm2     20   0 1821692  59496   4252 S  41.2   1.6   0:17.47 wrk
