PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
97764 yugm2     20   0 1319572   7188   4124 S  41.2   0.2   0:00.41 wrk
97764 yugm2     20   0 1319572  10568   4124 S  31.2   0.3   0:00.86 wrk
97764 yugm2     20   0 1319572  14000   4124 S  35.3   0.4   0:01.33 wrk
97764 yugm2     20   0 1319572  14000   4124 S  37.5   0.4   0:01.80 wrk
97764 yugm2     20   0 1319572  14000   4124 S  43.8   0.4   0:02.25 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:02.71 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:03.18 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:03.65 wrk
97764 yugm2     20   0 1319572  17432   4124 S  31.2   0.5   0:04.11 wrk
97764 yugm2     20   0 1319572  17432   4124 S  35.3   0.5   0:04.59 wrk
97764 yugm2     20   0 1319572  17432   4124 S  35.3   0.5   0:05.04 wrk
97764 yugm2     20   0 1319572  17432   4124 S  43.8   0.5   0:05.53 wrk
97764 yugm2     20   0 1319572  17432   4124 S  29.4   0.5   0:05.97 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:06.42 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:06.88 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:07.34 wrk
97764 yugm2     20   0 1319572  17432   4124 S  31.2   0.5   0:07.80 wrk
97764 yugm2     20   0 1319572  17432   4124 S  35.3   0.5   0:08.26 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:08.73 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:09.19 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:09.65 wrk
97764 yugm2     20   0 1319572  17432   4124 S  41.2   0.5   0:10.12 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:10.58 wrk
97764 yugm2     20   0 1319572  17432   4124 S  37.5   0.5   0:11.03 wrk
