PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
79617 yugm2     20   0  168464  47712   4000 S   0.0   0.0   0:00.02 wrk
79617 yugm2     20   0  168464  47976   4000 S  38.9   0.0   0:00.21 wrk
79617 yugm2     20   0  168464  47976   4000 S  33.3   0.0   0:00.68 wrk
79617 yugm2     20   0  168464  47976   4000 S  44.4   0.0   0:01.19 wrk
79617 yugm2     20   0  168464  47976   4000 S  38.9   0.0   0:01.68 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:02.89 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:04.11 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:05.32 wrk
79617 yugm2     20   0  168464  47976   4000 S 105.9   0.0   0:06.54 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:07.75 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:08.97 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:10.18 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:11.40 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:12.61 wrk
79617 yugm2     20   0  168464  47976   4000 S 105.6   0.0   0:13.84 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:15.05 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:16.26 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:17.47 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:18.69 wrk
79617 yugm2     20   0  168464  47976   4000 S  88.9   0.0   0:19.90 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:21.12 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:22.34 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:23.55 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:24.77 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:25.99 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:27.20 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:28.42 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:29.63 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:30.85 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:32.07 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:33.28 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:34.49 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:35.71 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:36.92 wrk
79617 yugm2     20   0  168464  47976   4000 S 105.6   0.0   0:38.15 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:39.36 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:40.58 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:41.79 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:43.00 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:44.22 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:45.43 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:46.65 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:47.87 wrk
79617 yugm2     20   0  168464  47976   4000 S 105.9   0.0   0:49.09 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:50.30 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:51.51 wrk
79617 yugm2     20   0  168464  47976   4000 S 100.0   0.0   0:52.74 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:53.94 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:55.16 wrk
79617 yugm2     20   0  168464  47976   4000 S  94.4   0.0   0:56.38 wrk
