PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 370820 yugm2     20   0 4403796  18376   5384 S   0.0   0.0   0:40.36 main
 370820 yugm2     20   0 4404052  19176   5384 S  23.5   0.0   0:40.50 main
 370820 yugm2     20   0 4404052  19704   5384 S   0.0   0.0   0:40.55 main
 370820 yugm2     20   0 4404052  19704   5384 S   0.0   0.0   0:40.55 main
 370820 yugm2     20   0 4404052  19704   5384 S   0.0   0.0   0:40.55 main
 370820 yugm2     20   0 4404052  19968   5384 S   5.9   0.0   0:40.63 main
 370820 yugm2     20   0 4404052  19968   5384 S   0.0   0.0   0:40.66 main
 370820 yugm2     20   0 4404052  19968   5384 S   0.0   0.0   0:40.66 main
 370820 yugm2     20   0 4404052  19968   5384 S   0.0   0.0   0:40.66 main
 370820 yugm2     20   0 4404052  21016   5384 S   5.9   0.0   0:40.73 main
 370820 yugm2     20   0 4404052  21260   5384 S   0.0   0.0   0:40.75 main
 370820 yugm2     20   0 4404052  21260   5384 S   0.0   0.0   0:40.75 main
 370820 yugm2     20   0 4404052  21260   5384 S   0.0   0.0   0:40.75 main
 370820 yugm2     20   0 4404052  21768   5384 S  23.5   0.0   0:40.85 main
 370820 yugm2     20   0 4404052  21768   5384 S   0.0   0.0   0:40.87 main
 370820 yugm2     20   0 4404052  21768   5384 S   0.0   0.0   0:40.87 main
 370820 yugm2     20   0 4404052  21768   5384 S   0.0   0.0   0:40.87 main
 370820 yugm2     20   0 4404052  22032   5384 S   0.0   0.0   0:40.93 main
 370820 yugm2     20   0 4404052  22296   5384 S   0.0   0.0   0:40.95 main
 370820 yugm2     20   0 4404052  22296   5384 S   0.0   0.0   0:40.95 main
 370820 yugm2     20   0 4404052  22296   5384 S  11.8   0.0   0:40.97 main
 370820 yugm2     20   0 4404052  22556   5384 S  11.8   0.0   0:41.03 main
 370820 yugm2     20   0 4404052  22816   5384 S   0.0   0.0   0:41.03 main
 370820 yugm2     20   0 4404052  22816   5384 S   0.0   0.0   0:41.03 main
 370820 yugm2     20   0 4404052  23076   5384 S   6.2   0.0   0:41.06 main
 370820 yugm2     20   0 4404052  23076   5384 S   6.2   0.0   0:41.11 main
 370820 yugm2     20   0 4404052  23076   5384 S   0.0   0.0   0:41.11 main
 370820 yugm2     20   0 4404052  23076   5384 S   0.0   0.0   0:41.11 main
 370820 yugm2     20   0 4404052  23076   5384 S   0.0   0.0   0:41.14 main
 370820 yugm2     20   0 4404052  22180   5384 S   0.0   0.0   0:41.22 main
 370820 yugm2     20   0 4404052  22180   5384 S   0.0   0.0   0:41.22 main
 370820 yugm2     20   0 4404052  22180   5384 S   0.0   0.0   0:41.22 main
 370820 yugm2     20   0 4404052  22964   5384 S   6.2   0.0   0:41.27 main
 370820 yugm2     20   0 4404052  22964   5384 S   0.0   0.0   0:41.30 main
 370820 yugm2     20   0 4404052  22964   5384 S   0.0   0.0   0:41.30 main
 370820 yugm2     20   0 4404052  22964   5384 S   0.0   0.0   0:41.30 main
 370820 yugm2     20   0 4404052  23488   5384 S   5.9   0.0   0:41.35 main
 370820 yugm2     20   0 4404052  23488   5384 S   0.0   0.0   0:41.38 main
 370820 yugm2     20   0 4404052  23488   5384 S   0.0   0.0   0:41.38 main
 370820 yugm2     20   0 4404052  23488   5384 S   0.0   0.0   0:41.38 main
 370820 yugm2     20   0 4404052  23748   5384 S   0.0   0.0   0:41.44 main
 370820 yugm2     20   0 4404052  23748   5384 S   0.0   0.0   0:41.46 main
 370820 yugm2     20   0 4404052  23748   5384 S   0.0   0.0   0:41.46 main
 370820 yugm2     20   0 4404052  23748   5384 S   0.0   0.0   0:41.46 main
 370820 yugm2     20   0 4404052  24524   5384 S   0.0   0.0   0:41.52 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.54 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.54 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
 370820 yugm2     20   0 4404052  24788   5384 S   0.0   0.0   0:41.58 main
