18:48:47.547138 IP amd256.utah.cloudlab.us.39948 > amd261.utah.cloudlab.us.8000: Flags [S], seq 3259805872, win 64240, options [mss 1460,sackOK,TS val 3698299933 ecr 0,nop,wscale 7], length 0

18:48:47.547148 IP amd256.utah.cloudlab.us.39956 > amd261.utah.cloudlab.us.8000: Flags [S], seq 3219918883, win 64240, options [mss 1460,sackOK,TS val 3698299933 ecr 0,nop,wscale 7], length 0

18:48:47.547147 IP amd256.utah.cloudlab.us.39950 > amd261.utah.cloudlab.us.8000: Flags [S], seq 4190752465, win 64240, options [mss 1460,sackOK,TS val 3698299933 ecr 0,nop,wscale 7], length 0

18:48:47.547209 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39950: Flags [S.], seq 3992707473, ack 4190752466, win 65160, options [mss 1460,sackOK,TS val 2726629858 ecr 3698299933,nop,wscale 7], length 0

18:48:47.547242 IP amd256.utah.cloudlab.us.39950 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 0

18:48:47.547251 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39956: Flags [S.], seq 1055433407, ack 3219918884, win 65160, options [mss 1460,sackOK,TS val 2726629858 ecr 3698299933,nop,wscale 7], length 0

18:48:47.547253 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39948: Flags [S.], seq 671683761, ack 3259805873, win 65160, options [mss 1460,sackOK,TS val 2726629858 ecr 3698299933,nop,wscale 7], length 0

18:48:47.547283 IP amd256.utah.cloudlab.us.39956 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 0

18:48:47.547286 IP amd256.utah.cloudlab.us.39948 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 0

18:48:47.547287 IP amd256.utah.cloudlab.us.39950 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1:60, ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 59

18:48:47.547383 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39950: Flags [.], ack 60, win 509, options [nop,nop,TS val 2726629858 ecr 3698299933], length 0

18:48:47.547425 IP amd256.utah.cloudlab.us.39948 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1:60, ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 59

18:48:47.547425 IP amd256.utah.cloudlab.us.39956 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1:60, ack 1, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 59

18:48:47.547481 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39950: Flags [P.], seq 1:124, ack 60, win 509, options [nop,nop,TS val 2726629858 ecr 3698299933], length 123

18:48:47.547498 IP amd256.utah.cloudlab.us.39950 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 0

18:48:47.547505 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39956: Flags [.], ack 60, win 509, options [nop,nop,TS val 2726629858 ecr 3698299933], length 0

18:48:47.547506 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39948: Flags [.], ack 60, win 509, options [nop,nop,TS val 2726629858 ecr 3698299933], length 0

18:48:47.547535 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39948: Flags [P.], seq 1:124, ack 60, win 509, options [nop,nop,TS val 2726629858 ecr 3698299933], length 123

18:48:47.547539 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.39956: Flags [P.], seq 1:124, ack 60, win 509, options [nop,nop,TS val 2726629858 ecr 3698299933], length 123

18:48:47.547546 IP amd256.utah.cloudlab.us.39948 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 0

18:48:47.547550 IP amd256.utah.cloudlab.us.39956 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698299933 ecr 2726629858], length 0

18:48:47.977704 IP amd256.utah.cloudlab.us.39590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2849796971:2849797030, ack 1390237728, win 502, options [nop,nop,TS val 3698300363 ecr 2726629809], length 59

18:48:47.977801 IP amd256.utah.cloudlab.us.39562 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2097364908:2097364967, ack 844011158, win 502, options [nop,nop,TS val 3698300363 ecr 2726629808], length 59

18:48:47.977948 IP amd256.utah.cloudlab.us.39574 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1305339983:1305340042, ack 1940746403, win 502, options [nop,nop,TS val 3698300363 ecr 2726629808], length 59

