PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
75400 yugm2     20   0 1204560   6248   3988 S  22.2   0.0   0:00.05 wrk
75400 yugm2     20   0 1204560   6248   3988 S   0.0   0.0   0:00.08 wrk
75400 yugm2     20   0 1204560   6248   3988 S   0.0   0.0   0:00.10 wrk
75400 yugm2     20   0 1204560   6248   3988 S   0.0   0.0   0:00.13 wrk
75400 yugm2     20   0 1204560   6248   3988 S  11.1   0.0   0:00.17 wrk
75400 yugm2     20   0 1204560   6248   3988 S   5.6   0.0   0:00.21 wrk
75400 yugm2     20   0 1204560   6248   3988 S   0.0   0.0   0:00.22 wrk
75400 yugm2     20   0 1204560   6248   3988 S   0.0   0.0   0:00.26 wrk
75400 yugm2     20   0 1204560   6248   3988 S   0.0   0.0   0:00.29 wrk
75400 yugm2     20   0 1204560  14280   3988 S  11.1   0.0   0:00.37 wrk
75400 yugm2     20   0 1204560  14280   3988 S  11.1   0.0   0:00.44 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:00.49 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:00.56 wrk
75400 yugm2     20   0 1204560  14280   3988 S  16.7   0.0   0:00.64 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:00.71 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.9   0.0   0:00.77 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:00.84 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:00.90 wrk
75400 yugm2     20   0 1204560  14280   3988 S  11.1   0.0   0:00.98 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:01.05 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:01.11 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:01.17 wrk
75400 yugm2     20   0 1204560  14280   3988 S  16.7   0.0   0:01.26 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:01.32 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.9   0.0   0:01.39 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:01.45 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:01.52 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:01.60 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:01.66 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.9   0.0   0:01.73 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:01.79 wrk
75400 yugm2     20   0 1204560  14280   3988 S  11.8   0.0   0:01.87 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:01.94 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:02.00 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.9   0.0   0:02.07 wrk
75400 yugm2     20   0 1204560  14280   3988 S  11.1   0.0   0:02.14 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:02.21 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:02.27 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:02.34 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:02.40 wrk
75400 yugm2     20   0 1204560  14280   3988 S  11.1   0.0   0:02.49 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:02.55 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:02.61 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:02.68 wrk
75400 yugm2     20   0 1204560  14280   3988 S  11.1   0.0   0:02.75 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:02.82 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:02.89 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:02.95 wrk
75400 yugm2     20   0 1204560  14280   3988 S   0.0   0.0   0:03.01 wrk
75400 yugm2     20   0 1204560  14280   3988 S   5.6   0.0   0:03.09 wrk
