18:44:27.876614 IP amd256.utah.cloudlab.us.40682 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1639087334:1639087393, ack 588185414, win 502, options [nop,nop,TS val 3698040262 ecr 2726369707], length 59

18:44:27.876634 IP amd256.utah.cloudlab.us.40644 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1434562907:1434562966, ack 16555310, win 502, options [nop,nop,TS val 3698040262 ecr 2726369707], length 59

18:44:27.876892 IP amd256.utah.cloudlab.us.40666 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3797466613:3797466672, ack 1095731029, win 502, options [nop,nop,TS val 3698040262 ecr 2726369707], length 59

18:44:27.876931 IP amd256.utah.cloudlab.us.40648 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1420924286:1420924345, ack 671698238, win 502, options [nop,nop,TS val 3698040262 ecr 2726369707], length 59

18:44:27.876934 IP amd256.utah.cloudlab.us.40672 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 4044138357:4044138416, ack 2400523250, win 502, options [nop,nop,TS val 3698040262 ecr 2726369707], length 59

18:44:27.877050 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40682: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370188 ecr 3698040262], length 123

18:44:27.877062 IP amd256.utah.cloudlab.us.40654 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 4074151258:4074151317, ack 1419718515, win 502, options [nop,nop,TS val 3698040263 ecr 2726369707], length 59

18:44:27.877076 IP amd256.utah.cloudlab.us.40682 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040263 ecr 2726370188], length 0

18:44:27.877096 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40666: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370188 ecr 3698040262], length 123

18:44:27.877109 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40672: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370188 ecr 3698040262], length 123

18:44:27.877121 IP amd256.utah.cloudlab.us.40666 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040263 ecr 2726370188], length 0

18:44:27.877129 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40644: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370188 ecr 3698040262], length 123

18:44:27.877133 IP amd256.utah.cloudlab.us.40672 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040263 ecr 2726370188], length 0

18:44:27.877153 IP amd256.utah.cloudlab.us.40622 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 948837165:948837224, ack 3152925171, win 502, options [nop,nop,TS val 3698040263 ecr 2726369707], length 59

18:44:27.877157 IP amd256.utah.cloudlab.us.40644 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040263 ecr 2726370188], length 0

18:44:27.877221 IP amd256.utah.cloudlab.us.40636 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3455129365:3455129424, ack 3956885950, win 502, options [nop,nop,TS val 3698040263 ecr 2726369707], length 59

18:44:27.877232 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40648: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370188 ecr 3698040262], length 123

18:44:27.877240 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40654: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370188 ecr 3698040263], length 123

18:44:27.877266 IP amd256.utah.cloudlab.us.40648 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040263 ecr 2726370188], length 0

18:44:27.877266 IP amd256.utah.cloudlab.us.40654 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040263 ecr 2726370188], length 0

18:44:27.877466 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40636: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370188 ecr 3698040263], length 123

18:44:27.877488 IP amd256.utah.cloudlab.us.40636 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040263 ecr 2726370188], length 0

18:44:27.877492 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40622: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2726370188 ecr 3698040263], length 123

18:44:27.877516 IP amd256.utah.cloudlab.us.40622 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3698040263 ecr 2726370188], length 0

18:44:27.880349 IP amd256.utah.cloudlab.us.40690 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 818063556:818063615, ack 2402294934, win 502, options [nop,nop,TS val 3698040266 ecr 2726369711], length 59

