PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
03270 yugm2     20   0  604724   5100   4172 S   0.0   0.0   0:00.01 wrk
03270 yugm2     20   0  604724   5100   4172 S   5.6   0.0   0:00.02 wrk
03270 yugm2     20   0  604724   5100   4172 S   0.0   0.0   0:00.02 wrk
03270 yugm2     20   0  604724   5100   4172 S   0.0   0.0   0:00.03 wrk
03270 yugm2     20   0  604724   5100   4172 S   0.0   0.0   0:00.04 wrk
03270 yugm2     20   0  604724   5100   4172 S   0.0   0.0   0:00.05 wrk
03270 yugm2     20   0  604724   5100   4172 S   0.0   0.0   0:00.06 wrk
03270 yugm2     20   0  604724   5100   4172 S   0.0   0.0   0:00.07 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.09 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.12 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.14 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.18 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.9   0.0   0:00.21 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.23 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.26 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.28 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.32 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.34 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.6   0.0   0:00.38 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.40 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.9   0.0   0:00.43 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.46 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.49 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.51 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.9   0.0   0:00.55 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.57 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.60 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.63 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.9   0.0   0:00.66 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.9   0.0   0:00.69 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.71 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.9   0.0   0:00.75 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.77 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.80 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.83 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.86 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.89 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.91 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.94 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:00.97 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.9   0.0   0:01.00 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.9   0.0   0:01.03 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.9   0.0   0:01.06 wrk
03270 yugm2     20   0  604724   7180   4172 S   5.6   0.0   0:01.09 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:01.12 wrk
03270 yugm2     20   0  604724   7180   4172 S   0.0   0.0   0:01.15 wrk
