00:24:42.822555 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2185132077:2185132136, ack 1026504673, win 502, options [nop,nop,TS val 3545655208 ecr 2573985033], length 59

00:24:42.822684 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54530: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985133 ecr 3545655208], length 123

00:24:42.822707 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655208 ecr 2573985133], length 0

00:24:42.827827 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3838033532:3838033591, ack 3484614321, win 502, options [nop,nop,TS val 3545655213 ecr 2573985038], length 59

00:24:42.827985 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54532: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985138 ecr 3545655213], length 123

00:24:42.828009 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655213 ecr 2573985138], length 0

00:24:42.832145 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1758381071:1758381130, ack 2750728515, win 502, options [nop,nop,TS val 3545655218 ecr 2573985042], length 59

00:24:42.832256 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54540: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985143 ecr 3545655218], length 123

00:24:42.832268 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655218 ecr 2573985143], length 0

00:24:42.837392 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1144636109:1144636168, ack 1390124277, win 502, options [nop,nop,TS val 3545655223 ecr 2573985048], length 59

00:24:42.837530 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54542: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985148 ecr 3545655223], length 123

00:24:42.837555 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655223 ecr 2573985148], length 0

00:24:42.841716 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2790036179:2790036238, ack 641196139, win 502, options [nop,nop,TS val 3545655227 ecr 2573985052], length 59

00:24:42.841898 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985152 ecr 3545655227], length 123

00:24:42.841924 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655227 ecr 2573985152], length 0

00:24:42.848061 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2553918720:2553918779, ack 2047058953, win 502, options [nop,nop,TS val 3545655234 ecr 2573985058], length 59

00:24:42.848163 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985159 ecr 3545655234], length 123

00:24:42.848186 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655234 ecr 2573985159], length 0

00:24:42.852317 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 442898860:442898919, ack 2192434953, win 502, options [nop,nop,TS val 3545655238 ecr 2573985062], length 59

00:24:42.852458 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54560: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2573985163 ecr 3545655238], length 123

00:24:42.852482 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3545655238 ecr 2573985163], length 0

00:24:42.856709 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3288340539:3288340598, ack 3470027395, win 502, options [nop,nop,TS val 3545655242 ecr 2573985067], length 59

