PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
04641 yugm2     20   0   84512   4592   3904 S   0.0   0.0   0:00.00 wrk
04641 yugm2     20   0   84512   4592   3904 S   0.0   0.0   0:00.01 wrk
04641 yugm2     20   0   84512   4592   3904 S   0.0   0.0   0:00.02 wrk
04641 yugm2     20   0   84512   4592   3904 S   0.0   0.0   0:00.03 wrk
04641 yugm2     20   0   84512   4592   3904 S   5.9   0.0   0:00.05 wrk
04641 yugm2     20   0   84512   4592   3904 S   0.0   0.0   0:00.05 wrk
04641 yugm2     20   0   84512   4592   3904 S   0.0   0.0   0:00.06 wrk
04641 yugm2     20   0   84512   4592   3904 S   0.0   0.0   0:00.08 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.09 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.10 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.11 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.9   0.0   0:00.13 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.14 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.15 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.16 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.9   0.0   0:00.18 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.18 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.19 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.6   0.0   0:00.21 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.6   0.0   0:00.23 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.24 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.25 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.26 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.27 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.28 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.29 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.30 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.32 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.9   0.0   0:00.34 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.9   0.0   0:00.35 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.36 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.37 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.6   0.0   0:00.39 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.40 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.9   0.0   0:00.41 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.42 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.43 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.44 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.45 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.47 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.48 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.49 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.50 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.9   0.0   0:00.52 wrk
04641 yugm2     20   0   84512   5116   3904 S   0.0   0.0   0:00.53 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.6   0.0   0:00.55 wrk
04641 yugm2     20   0   84512   5116   3904 S   5.9   0.0   0:00.56 wrk
