PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.97 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.97 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.97 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.98 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.98 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.98 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.99 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.99 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.99 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.99 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:00.99 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.00 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.01 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.01 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.01 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.01 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.02 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.02 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.02 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.02 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.03 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.03 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.03 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.04 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.04 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.04 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.05 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.05 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.05 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.06 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.06 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.06 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.06 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.06 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.06 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.06 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.08 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.08 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.08 main
 492298 yugm2     20   0 1077724   6596   4972 S   0.0   0.0   0:00.16 main
 569879 yugm2     20   0 1448304   9728   5124 S   0.0   0.0   0:01.08 main
